question,source,accuracy,difficulty,distractor_effectiveness
What kind of viscosity is found in long-chain hydrocarbons?,ref,0,0.4,"{'highly viscous': 2, 'increased viscosity': 1, 'intense viscosity': 2, 'low viscosity': 0}"
What kind of viscosity is found in long-chain hydrocarbons?,sys,1,0.8,"{'highly viscous': 4, 'low viscosity': 1}"
Ionic compounds have strong electrostatic attractions between oppositely charged ions in this?,ref,0,0.0,"{'incorrect array': 1, 'normal array': 2, 'occasional array': 2, 'regular array': 0}"
Ionic compounds have strong electrostatic attractions between oppositely charged ions in this?,sys,0,0.4,"{'polar array': 2, 'random array': 1, 'regular array': 2}"
About how tall can mid-ocean ridges be?,ref,0,0.2,"{'2 inches': 2, 'about 2 feet': 0, 'about 2 km': 1, 'about 2 meters': 2}"
About how tall can mid-ocean ridges be?,sys,0,0.4,"{'1 km': 1, '3 km': 2, '5 km': 0, 'about 2 km': 2}"
What are by far the most common type of invertebrate?,ref,0,0.4,"{'corals': 0, 'crustaceans': 1, 'insects': 2, 'spiders': 2}"
What are by far the most common type of invertebrate?,sys,0,0.2,"{'ants': 1, 'insects': 1, 'spiders': 2, 'worms': 1}"
What do waves deposit to form sandbars and barrier islands?,ref,0,0.2,"{'glaciers': 2, 'magma': 2, 'organisms': 0, 'sediments': 1}"
What do waves deposit to form sandbars and barrier islands?,sys,1,0.6,"{'diment': 2, 'sedimentation': 0, 'sediments': 3}"
"Penis, testes, and epididymis are organs in what system?",ref,1,0.8,"{'female reproductive system\u200b': 0, 'male reproductive system': 4, 'plant reproductive system\u200b': 1, 'virus reproductive system\u200b': 0}"
"Penis, testes, and epididymis are organs in what system?",sys,1,0.6,"{'brain': 0, 'female reproductive system': 2, 'heart': 0, 'male reproductive system': 3}"
"Only about one percent of plants have lost what ability, turning them into consumers and even predators, instead of producers?",ref,0,0.2,"{'flowering': 0, 'growth': 2, 'photosynthesis': 1, 'rooting': 2}"
"Only about one percent of plants have lost what ability, turning them into consumers and even predators, instead of producers?",sys,1,1.0,{'photosynthesis': 5}
How does a neon light produce visible light?,ref,0,0.0,"{'electroluminescence': 0, 'luminescence': 2, 'mitosis': 2, 'radiation': 1}"
How does a neon light produce visible light?,sys,0,0.2,"{'electroluminescence': 1, 'helium': 1, 'hydrogen': 0, 'oxygen': 3}"
The bird ancestor that lived in trees developed what feature commonly associated with birds?,ref,1,0.4,"{'beaks': 1, 'tails': 0, 'webbed feet': 2, 'wings': 2}"
The bird ancestor that lived in trees developed what feature commonly associated with birds?,sys,0,0.2,"{'feathers': 1, 'legs': 0, 'scales': 3, 'wings': 1}"
What do most living things use to make atp from glucose?,ref,1,0.6,"{'carbon': 1, 'enzymes': 1, 'nitrogen': 0, 'oxygen': 3}"
What do most living things use to make atp from glucose?,sys,0,0.2,"{'carbon': 2, 'nitrogen': 2, 'oxygen': 1}"
What are the two most common silicates?,ref,0,0.4,"{'Micas\t and feldspar': 1, 'Micas\t and quartz': 0, 'Olivine and quartz': 2, 'feldspar and quartz': 2}"
What are the two most common silicates?,sys,0,0.2,"{'feldspar and quartz': 1, 'granite': 2, 'granite and limestone': 1, 'limestone': 1}"
What term means the amount of water vapor in the air?,ref,1,0.4,"{'ambient': 0, 'humidity': 2, 'pressure': 2, 'temperature': 1}"
What term means the amount of water vapor in the air?,sys,0,0.2,"{'high humidity': 3, 'humidity': 1, 'low humidity': 1, 'low pressure': 0}"
Paracrine signals move by what method through the extracellular matrix?,ref,0,0.0,"{'deposition': 1, 'diffusion': 0, 'osmosis': 3, 'transfusion': 1}"
Paracrine signals move by what method through the extracellular matrix?,sys,1,1.0,{'diffusion': 5}
"Presence of a cell wall, large central vacuole, and organelles called plastids distinguish what type of cell?",ref,0,0.2,"{'animal': 1, 'heterotroph': 2, 'plant': 1, 'reproductive': 1}"
"Presence of a cell wall, large central vacuole, and organelles called plastids distinguish what type of cell?",sys,0,0.0,"{'mitochondria': 3, 'plant': 0, 'pollen': 1, 'spore': 1}"
What happens when mammals raise their hair with tiny muscles in the skin?,ref,0,0.0,"{'balding': 2, 'bleeding': 1, 'bruising': 2, 'goosebumps': 0}"
What happens when mammals raise their hair with tiny muscles in the skin?,sys,1,0.4,"{'blood': 1, 'goosebumps': 2, 'hair': 1, 'skin': 1}"
What are people with osteoporosis at increased risk of?,ref,0,0.2,"{'bone fractures': 1, 'epilepsy': 1, 'growth spurt': 2, 'senility': 1}"
What are people with osteoporosis at increased risk of?,sys,1,0.4,"{'bone fractures': 2, 'cancer': 1, 'diabetes': 1, 'heart attack': 1}"
Where is energy stored in a chemical substance?,ref,1,0.6,"{'between atoms': 3, 'in molecules': 1, 'inside atoms': 0, 'on the surface': 1}"
Where is energy stored in a chemical substance?,sys,1,0.6,"{'atoms': 0, 'between atoms': 3, 'electrons': 0, 'molecules': 2}"
"By the year 2050, 25 percent of the population of the united states will be 60 years of age or older. the cdc estimates that 80 percent of those 60 years and older have one or more chronic disease associated with deficiencies of this?",ref,0,0.0,"{'blood vessels': 2, 'cardiovascular system': 2, 'immune system': 0, 'respiratory system': 1}"
"By the year 2050, 25 percent of the population of the united states will be 60 years of age or older. the cdc estimates that 80 percent of those 60 years and older have one or more chronic disease associated with deficiencies of this?",sys,1,0.4,"{'age': 2, 'brain': 1, 'heart': 0, 'immune system': 2}"
"Upon death of an organism, during composition, what returns to the soil as ammonium ions?",ref,0,0.2,"{'calcium': 1, 'hydrogen': 2, 'nitrogen': 1, 'potasium': 1}"
"Upon death of an organism, during composition, what returns to the soil as ammonium ions?",sys,0,0.2,"{'carbon': 2, 'nitrogen': 1, 'oxygen': 2}"
Most insects reproduce quickly and through what type of reproduction?,ref,0,0.0,"{'asexual reproduction': 3, 'photosynthesis': 1, 'sexual reproduction': 0, 'spores': 1}"
Most insects reproduce quickly and through what type of reproduction?,sys,0,0.0,"{'asexual reproduction': 3, 'sexual reproduction': 0, 'spore reproduction': 1, 'vulation': 1}"
Digestion of proteins begins with acids in what organ?,ref,0,0.2,"{'brain': 2, 'colon': 2, 'liver': 0, 'stomach': 1}"
Digestion of proteins begins with acids in what organ?,sys,0,0.4,"{'amino acids': 0, 'enzymes': 2, 'hormones': 1, 'stomach': 2}"
"Many species of rotifers exhibit haplodiploidy, which is a method of what?",ref,0,0.2,"{'circulation': 2, 'digestion': 1, 'gender determination': 1, 'respiration': 1}"
"Many species of rotifers exhibit haplodiploidy, which is a method of what?",sys,0,0.2,"{'gender determination': 1, 'heteromorphic': 0, 'heterophytic': 4, 'heterozygous': 0}"
What is the most abundant metal of the earth's crust?,ref,1,0.4,"{'aluminum': 2, 'calcium': 2, 'copper': 1, 'magnetite': 0}"
What is the most abundant metal of the earth's crust?,sys,1,0.6,"{'aluminum': 3, 'copper': 1, 'iron': 1, 'silver': 0}"
What is the term for the total kinetic energy of moving particles of matter?,ref,0,0.2,"{""Newton's energy"": 1, 'heavy energy': 2, 'mechanical energy': 1, 'thermal energy': 1}"
What is the term for the total kinetic energy of moving particles of matter?,sys,0,0.0,"{'kinetic energy': 2, 'thermal energy': 0, 'thermal resistance': 3}"
What part of the eye allows light to enter?,ref,0,0.2,"{'eyelid': 1, 'iris': 0, 'pupil': 1, 'retina': 3}"
What part of the eye allows light to enter?,sys,1,0.4,"{'cornea': 1, 'lens': 2, 'pupil': 2}"
"The body cannot sustain for very long the bursts of energy mediated by epinephrine and norepinephrine, hormones associated with what stress response?",ref,0,0.0,"{'do-or-die': 2, 'fainting': 3, 'fight-or-flight': 0, 'sink-or-swim': 0}"
"The body cannot sustain for very long the bursts of energy mediated by epinephrine and norepinephrine, hormones associated with what stress response?",sys,0,0.0,"{'fatigue': 3, 'fight-or-flight': 0, 'stress': 2}"
"What system enters the brain stem and influences activity in the cerebellum, spinal cord, and cerebral cortex?",ref,0,0.2,"{'lipids system': 2, 'vasculature system': 1, 'ventrical system': 1, 'vestibular system': 1}"
"What system enters the brain stem and influences activity in the cerebellum, spinal cord, and cerebral cortex?",sys,0,0.0,"{'auditory cortex': 4, 'olfactory cortex': 1, 'vestibular system': 0, 'visual cortex': 0}"
In what type of animals may a body cavity be present or absent?,ref,0,0.0,"{'bicellular': 3, 'nonvascular': 1, 'triploblastic': 0, 'vertebrate': 1}"
In what type of animals may a body cavity be present or absent?,sys,1,0.6,"{'monogamous': 0, 'monolithic': 2, 'monotonous': 0, 'triploblastic': 3}"
Chemical reactions involve a transfer of heat energy. measured in what?,ref,0,0.2,"{'amperes': 0, 'amps': 2, 'joules': 1, 'thermals': 2}"
Chemical reactions involve a transfer of heat energy. measured in what?,sys,0,0.0,"{'joules': 0, 'kilo': 1, 'kilo-hours': 1, 'kilowatt-hours': 3}"
Trees and shrubs are example of what type of plant?,ref,0,0.2,"{'annuals': 1, 'biennial': 1, 'grasses': 2, 'perennials': 1}"
Trees and shrubs are example of what type of plant?,sys,0,0.2,"{'carnivorous': 1, 'coniferous': 3, 'deciduous': 0, 'perennials': 1}"
"The products of what process are needed for cellular respiration, and vice versa?",ref,0,0.2,"{'circulation': 1, 'digestion': 1, 'photosynthesis': 1, 'spermatogenesis': 2}"
"The products of what process are needed for cellular respiration, and vice versa?",sys,1,0.6,"{'carbon dioxide': 1, 'nitrogen': 0, 'oxygen': 1, 'photosynthesis': 3}"
Most fungi get organic compounds from what?,ref,0,0.2,"{'carnivorous organisms': 0, 'dead organisms': 1, 'inorganic material': 2, 'living organisms': 2}"
Most fungi get organic compounds from what?,sys,0,0.0,"{'air': 3, 'dead organisms': 0, 'organic compounds': 0, 'water': 2}"
How do very massive stars end their lives?,ref,0,0.4,"{'become red supergiants': 2, 'become super novas': 1, 'consumed by black hole': 2, 'explode': 0}"
How do very massive stars end their lives?,sys,1,0.6,"{'become red supergiants': 3, 'helium': 2}"
Pairs of nitrogenous bases are attached to each other by?,ref,0,0.2,"{'hydrogen bonds': 1, 'ionic bonds': 0, 'magnetism': 2, 'potassium bonds': 2}"
Pairs of nitrogenous bases are attached to each other by?,sys,1,1.0,{'hydrogen bonds': 5}
Rupture can cause fragments of what to travel via the bloodstream and become lodged in other arteries?,ref,0,0.0,"{'enamel': 0, 'plaque': 0, 'red blood cells': 3, 'white blood cells': 2}"
Rupture can cause fragments of what to travel via the bloodstream and become lodged in other arteries?,sys,0,0.0,"{""'bone'"": 1, ""'brain'"": 3, ""'heart'"": 1, 'plaque': 0}"
The strength of a base depends on the concentration of _______ it produces when dissolved in water?,ref,0,0.2,"{'calcium ions': 2, 'combustion ions': 1, 'hydroxide ions': 1, 'monoxide ions': 1}"
The strength of a base depends on the concentration of _______ it produces when dissolved in water?,sys,0,0.0,"{'hydrogen ions': 1, 'hydroxide ions': 0, 'nitrogen ions': 2, 'oxygen ions': 2}"
The overall voltage of the battery is therefore the sum of ________ of the individual cells.,ref,0,0.2,"{'currents': 2, 'resistances': 1, 'voltages': 1, 'weights': 1}"
The overall voltage of the battery is therefore the sum of ________ of the individual cells.,sys,0,0.4,"{'negative': 1, 'positive': 2, 'voltages': 2}"
Organisms that live deep in the ocean must be able to withstand what?,ref,0,0.0,"{'extreme water pressure': 0, 'significant water pressure': 1, 'the sun': 2, 'tsunamis': 2}"
Organisms that live deep in the ocean must be able to withstand what?,sys,1,0.4,"{'extreme water pressure': 2, 'high pressure': 2, 'high pressure and high temperature': 0, 'high temperature': 1}"
Which system are the brain and spinal cord apart of?,ref,0,0.2,"{'central nervous system': 1, 'cerebral cortex': 0, 'large nervous system': 1, 'limbic system': 3}"
Which system are the brain and spinal cord apart of?,sys,1,0.4,"{'central nervous system': 2, 'circulatory system': 0, 'nervous system': 1, 'respiratory system': 2}"
What are biochemical catalysts that speed up biochemical reactions?,ref,0,0.0,"{'enzymes': 0, 'inhibitor': 1, 'metabolites': 3, 'polymers': 1}"
What are biochemical catalysts that speed up biochemical reactions?,sys,0,0.0,"{'enzymes': 0, 'hormones': 2, 'proteins': 3}"
What process can cause harmful alleles to become fixed?,ref,0,0.2,"{'genetic drift': 1, 'migration': 4, 'mutation': 0, 'natural selection': 0}"
What process can cause harmful alleles to become fixed?,sys,1,0.6,"{'genetic drift': 3, 'mutation': 2}"
What record shows that dinosaurs originated 200-250 million years ago?,ref,0,0.2,"{'ancient record': 0, 'biological record': 3, 'fossil record': 1, 'species record': 1}"
What record shows that dinosaurs originated 200-250 million years ago?,sys,0,0.4,"{'fossil record': 2, 'fossilized': 0, 'fossilized fossil': 3}"
"What instrument is used to make very sensitive mass measurements in a laboratory, usually in grams?",ref,0,0.2,"{'analytical balance': 1, 'scale': 1, 'speedometer': 2, 'thermometer': 1}"
"What instrument is used to make very sensitive mass measurements in a laboratory, usually in grams?",sys,0,0.2,"{'analytical balance': 1, 'magnetic balance': 1, 'thermal balance': 3, 'ultrasonic balance': 0}"
What is the purpose of bright colors on a flower's petals?,ref,0,0.0,"{'to absorb light': 2, 'to attract a mate': 1, 'to attract pollinators': 0, 'to distract predators': 2}"
What is the purpose of bright colors on a flower's petals?,sys,0,0.0,"{'attract': 3, 'pollination': 0, 'reproduction': 2, 'to attract pollinators': 0}"
Collateral ganglia controls organs in which cavity in the body?,ref,0,0.2,"{'abdominal': 1, 'cardiac': 0, 'cranial': 2, 'pelvic': 2}"
Collateral ganglia controls organs in which cavity in the body?,sys,0,0.2,"{'abdominal': 1, 'pelvic': 2, 'thoracic': 2}"
A bee will sometimes do a dance to tell other bees in the hive where to find what?,ref,0,0.2,"{'enemies': 0, 'food': 1, 'honey': 4, 'water': 0}"
A bee will sometimes do a dance to tell other bees in the hive where to find what?,sys,0,0.4,"{'food': 2, 'honey': 1, 'pollen': 2, 'water': 0}"
"The lens focuses light on the retina , which covers the back of the inside of the eye. the retina has light-sensing photoreceptor cells called?",ref,0,0.4,"{'cones and tubes': 1, 'holes and cones': 0, 'rods and cones': 2, 'tubes and rods': 2}"
"The lens focuses light on the retina , which covers the back of the inside of the eye. the retina has light-sensing photoreceptor cells called?",sys,0,0.2,"{'cones and cones': 2, 'ones': 2, 'rods and cones': 1}"
"Temperature, water, soil, and air are examples of nonliving factors of an ecosystem, also termed what?",ref,0,0.0,"{'abiotic factors': 0, 'conditional factors': 1, 'diverse factors': 2, 'nucleic factors': 2}"
"Temperature, water, soil, and air are examples of nonliving factors of an ecosystem, also termed what?",sys,0,0.2,"{'abiotic factors': 1, 'otosynthesis': 0, 'soil': 4, 'water': 0}"
Ibuprofen and albuterol are examples of drugs whose _________ have different effects.,ref,0,0.2,"{'analogous': 1, 'enantiomers': 1, 'misnomers': 2, 'nanoparticles': 1}"
Ibuprofen and albuterol are examples of drugs whose _________ have different effects.,sys,0,0.2,"{'antacid': 0, 'antifreeze': 4, 'antihistamine': 0, 'enantiomers': 1}"
"Although magma once filled our moon's craters, what is thought to have ended there over a billion years ago?",ref,0,0.0,"{'deserts activity': 2, 'mineral activity': 1, 'oceanic activity': 2, 'volcanic activity': 0}"
"Although magma once filled our moon's craters, what is thought to have ended there over a billion years ago?",sys,0,0.4,"{'volcanic activity': 2, 'volcanic eruption': 3, 'volcanic formation': 0}"
Sensory nerves carry nerve impulses from sensory receptors to what system?,ref,0,0.0,"{'ENDOCRINE SYSTEM': 4, 'IRCULATORY SYSTEM': 1, 'MUSCULAR SYSTEM': 0, 'central nervous': 0}"
Sensory nerves carry nerve impulses from sensory receptors to what system?,sys,0,0.2,"{'central nervous': 1, 'nervous': 2, 'peripheral': 1, 'peripheral nervous': 1}"
Which kind of muscle regulates air flow in lungs?,ref,0,0.0,"{'alveoli': 3, 'smooth': 0, 'striated': 1, 'vascular': 1}"
Which kind of muscle regulates air flow in lungs?,sys,0,0.2,"{'muscle': 1, 'muscle fibers': 3, 'smooth': 1}"
What type of bonds are formed by the side-to-side overlap of p orbitals?,ref,0,0.0,"{'omega bonds': 0, 'pi bonds': 0, 'sigma bonds': 3, 'theta bonds': 2}"
What type of bonds are formed by the side-to-side overlap of p orbitals?,sys,1,0.8,"{'alpha bonds': 1, 'pi bonds': 4}"
On what day of the cycle does ovulation usually occur?,ref,0,0.2,"{'14th': 1, '17th': 0, '1st': 1, '7th': 3}"
On what day of the cycle does ovulation usually occur?,sys,0,0.2,"{'14th': 1, '15th': 1, '16th': 1, '17th': 2}"
"The majority of animals belong to what category, characterized by the lack of a backbone?",ref,1,0.6,"{'arthropod': 0, 'invertebrate': 3, 'nematode': 2, 'vertebrate': 0}"
"The majority of animals belong to what category, characterized by the lack of a backbone?",sys,1,0.6,"{'invertebrate': 3, 'mammal': 0, 'reptile': 1, 'vertebrate': 1}"
What is another name for the vertebral column?,ref,0,0.0,"{'backbone': 0, 'brain stem': 3, 'nerve column': 1, 'pillar': 1}"
What is another name for the vertebral column?,sys,1,0.6,"{'backbone': 3, 'vertebrae': 2}"
The temperature at which a substance melts is called its what point?,ref,0,0.2,"{'boiling': 3, 'change': 1, 'freezing': 0, 'melting': 1}"
The temperature at which a substance melts is called its what point?,sys,1,0.4,"{'boiling': 2, 'freezing': 1, 'melting': 2}"
"Oogenesis, which is gametogenesis in females, begins with what type of ste cells?",ref,0,0.2,"{'digestive': 2, 'ovarian': 1, 'secretion': 2, 'uterian': 0}"
"Oogenesis, which is gametogenesis in females, begins with what type of ste cells?",sys,0,0.4,"{'follicular': 3, 'ovarian': 2}"
Humans are among the most versatile of mammals with what type of diet?,ref,1,0.4,"{'carnivore': 2, 'herbivore': 1, 'omnivore': 2, 'vegetarian': 0}"
Humans are among the most versatile of mammals with what type of diet?,sys,0,0.4,"{'carnivore': 1, 'herbivore': 2, 'omnivore': 2}"
Solute potential is also called osmotic potential because solutes affect the direction of what?,ref,1,0.6,"{'electrolysis': 1, 'osmosis': 3, 'permeability': 1}"
Solute potential is also called osmotic potential because solutes affect the direction of what?,sys,0,0.0,"{'negative pressure': 3, 'negative temperature': 2, 'osmosis': 0}"
"Newton’s second law of what is more than a definition; it is a relationship among acceleration, force, and mass?",ref,0,0.2,"{'change': 1, 'gravity': 2, 'interference': 1, 'motion': 1}"
"Newton’s second law of what is more than a definition; it is a relationship among acceleration, force, and mass?",sys,0,0.0,"{'city': 1, 'gravity': 2, 'momentum': 2, 'motion': 0}"
What is the physical transformation of an insect moving through stages of life?,ref,0,0.4,"{'Growth and Development': 2, 'Transition': 1, 'metamorphosis': 2, 'parthenogenesis': 0}"
What is the physical transformation of an insect moving through stages of life?,sys,1,0.6,"{'etamorphosis': 2, 'metamorphosis': 3}"
"When equal amounts of a strong acid such as hydrochloric acid are mixed with a strong base such as sodium hydroxide, the result is what kind of solution?",ref,0,0.2,"{'a economical one': 3, 'a lateral one': 1, 'a neutral one': 1, 'a thermodynamic one': 0}"
"When equal amounts of a strong acid such as hydrochloric acid are mixed with a strong base such as sodium hydroxide, the result is what kind of solution?",sys,0,0.2,"{'a neutral one': 1, 'acidic': 4}"
What are fast moving rivers of air that are going in opposite directions called?,ref,0,0.0,"{'air streams': 2, 'burst streams': 3, 'cause streams': 0, 'jet streams': 0}"
What are fast moving rivers of air that are going in opposite directions called?,sys,1,0.6,"{'atmospheric currents': 0, 'jet streams': 3, 'ocean currents': 1, 'wind streams': 1}"
"Nephrons, renal tubules and the loop of henle are part of the process of blood filtration by what organs?",ref,0,0.4,"{'bladder': 1, 'kidneys': 2, 'liver': 2, 'lungs': 0}"
"Nephrons, renal tubules and the loop of henle are part of the process of blood filtration by what organs?",sys,0,0.4,"{'heart': 0, 'kidneys': 2, 'liver': 0, 'lungs': 3}"
"Fungi, such as black bread mold (rhizopus nigricans), have haploid-dominant what?",ref,1,0.6,"{'birth cycles': 0, 'gene pools': 1, 'life cycles': 3, 'mutations': 1}"
"Fungi, such as black bread mold (rhizopus nigricans), have haploid-dominant what?",sys,1,1.0,"{'life cycles': 5, 'pollen': 0, 'seeds': 0, 'spores': 0}"
The electrode at which oxidation occurs is called?,ref,0,0.2,"{'calomel': 3, 'cathode': 1, 'diode': 0, 'the anode': 1}"
The electrode at which oxidation occurs is called?,sys,1,0.4,"{'negative charge': 2, 'negative electrode': 0, 'negative ion': 1, 'the anode': 2}"
There are about 6200 known species of what?,ref,0,0.0,"{'amphibians': 0, 'mammals': 2, 'primates': 0, 'reptiles': 3}"
There are about 6200 known species of what?,sys,0,0.0,"{""'birds"": 1, 'amphibians': 0, 'mammals': 2, ""reptiles' 'fish"": 2}"
The lens and other parts of the eye work together to focus a real image on what eye structure?,ref,0,0.0,"{'cornea': 0, 'iris': 2, 'pupil': 3, 'retina': 0}"
The lens and other parts of the eye work together to focus a real image on what eye structure?,sys,0,0.4,"{'cornea': 2, 'iris': 0, 'retina': 2, 'upil': 1}"
What is required to move or change matter from one state to another?,ref,1,0.6,"{'energy': 3, 'evolution': 1, 'food': 1, 'gravity': 0}"
What is required to move or change matter from one state to another?,sys,1,0.6,"{'carbon': 1, 'energy': 3, 'nitrogen': 1, 'oxygen': 0}"
A food web can be broken up into what further subdivision that usually has a few links in it?,ref,0,0.4,"{'food chain': 2, 'food pyramid': 0, 'oxygen chain': 1, 'water chain': 2}"
A food web can be broken up into what further subdivision that usually has a few links in it?,sys,0,0.4,"{'ecosystem': 0, 'food chain': 2, 'population': 1, 'species': 2}"
What living species of bird is considered the  largest of the raptors?,ref,0,0.2,"{'California condor': 1, 'golden eagles': 1, 'peregrine falcon': 2, 'pteradactyl': 1}"
What living species of bird is considered the  largest of the raptors?,sys,0,0.4,"{'golden eagles': 2, 'peregrine falcon': 3}"
What contains positive protons and neutral neutrons?,ref,0,0.2,"{'electrons': 4, 'epidermis': 0, 'ions': 0, 'nucleus': 1}"
What contains positive protons and neutral neutrons?,sys,1,1.0,{'nucleus': 5}
"Horny ridges on the jaws serve the same function as what, for turtles?",ref,0,0.2,"{'hairs': 2, 'skin': 1, 'taste buds': 1, 'teeth': 1}"
"Horny ridges on the jaws serve the same function as what, for turtles?",sys,0,0.0,"{'sharp ridges': 2, 'sharp teeth': 3, 'teeth': 0}"
Natural gas is the predominately made up of?,ref,1,0.6,"{'carbon': 0, 'hydrogen': 2, 'methane': 3, 'sulfur': 0}"
Natural gas is the predominately made up of?,sys,0,0.0,"{'carbon dioxide': 2, 'helium': 1, 'hydrogen': 2, 'methane': 0}"
"Which  organs control the amount of water, ions, and other substances in the blood by excreting more or less of them in urine?",ref,0,0.0,"{'ears': 1, 'kidneys': 0, 'lungs': 1, 'tongue': 3}"
"Which  organs control the amount of water, ions, and other substances in the blood by excreting more or less of them in urine?",sys,0,0.0,"{'heart': 0, 'kidneys': 0, 'liver': 2, 'lungs': 3}"
What unit of measurement is defined to be the number of atoms in 12g of carbon-12?,ref,0,0.0,"{'one joule': 2, 'one mole': 0, 'one ohm': 2, 'one quark': 1}"
What unit of measurement is defined to be the number of atoms in 12g of carbon-12?,sys,0,0.2,"{'one atom': 3, 'one gram': 1, 'one mole': 1, 'one molecule': 0}"
What involves sensing and focusing light from people and objects?,ref,0,0.2,"{'echolocation': 1, 'projection': 1, 'sensory perception': 2, 'vision': 1}"
What involves sensing and focusing light from people and objects?,sys,0,0.0,"{""'sight'"": 2, ""'sight''sight'"": 3, 'vision': 0}"
"What is a therian mammal in which the embryo is born at an early, immature stage?",ref,0,0.2,"{'a marsupial': 1, 'bat': 1, 'carnivore': 3, 'rodent': 0}"
"What is a therian mammal in which the embryo is born at an early, immature stage?",sys,0,0.2,"{'a marsupial': 1, 'carnivores': 2, 'carnivorous': 2}"
What are fungi which feed on living cells called?,ref,0,0.2,"{'parasitic': 1, 'predatory': 2, 'static': 0, 'symbiotic': 2}"
What are fungi which feed on living cells called?,sys,0,0.2,"{'bacteria': 1, 'parasitic': 1, 'spores': 1, 'viruses': 2}"
What rock group offers the richest source of fossils?,ref,1,0.4,"{'geode': 1, 'igneous': 1, 'metamorphic': 1, 'sedimentary': 2}"
What rock group offers the richest source of fossils?,sys,0,0.4,"{'granite': 0, 'limestone': 3, 'sedimentary': 2}"
What is the diffusion of water through a semipermeable membrane down its concentration gradient,ref,1,0.6,"{'Permable': 0, 'mirrors': 1, 'nutrients': 1, 'osmosis': 3}"
What is the diffusion of water through a semipermeable membrane down its concentration gradient,sys,0,0.4,"{'carbon dioxide': 1, 'nitrogen': 2, 'osmosis': 2, 'oxygen': 0}"
Isotopes are named for their number of protons plus what?,ref,0,0.2,"{'electrons': 1, 'isomers': 1, 'neutrons': 1, 'nuclei': 2}"
Isotopes are named for their number of protons plus what?,sys,0,0.2,"{'hydrogen': 2, 'neutrons': 1, 'nitrogen': 2, 'oxygen': 0}"
Movements in the mantle cause the plates to move over time in a process called what?,ref,0,0.2,"{'boundary drift': 2, 'continental drift': 1, 'continental expansion': 1, 'continental shift': 1}"
Movements in the mantle cause the plates to move over time in a process called what?,sys,0,0.2,"{""'continental drift'"": 2, ""'geological drift'"": 0, ""'seismic drift'"": 2, 'continental drift': 1}"
"In phyisics, what is considered to be the rotational version of force?",ref,0,0.2,"{'energy': 1, 'pressure': 2, 'torque': 1, 'work': 1}"
"In phyisics, what is considered to be the rotational version of force?",sys,0,0.0,"{'friction': 4, 'gravity': 1, 'spin': 0, 'torque': 0}"
Skeletal muscles are attached to the skeleton by tough connective tissues called what?,ref,0,0.2,"{'cords': 0, 'fibers': 0, 'tendons': 1, 'veins': 4}"
Skeletal muscles are attached to the skeleton by tough connective tissues called what?,sys,0,0.4,"{'collagen': 1, 'fibroblasts': 2, 'keratin': 0, 'tendons': 2}"
What is the ability to see called?,ref,1,0.6,"{'hearing': 2, 'smell': 0, 'thought': 0, 'vision': 3}"
What is the ability to see called?,sys,1,0.6,"{'olor': 0, 'smell': 1, 'sound': 1, 'vision': 3}"
