question,source,accuracy,difficulty,distractor_effectiveness
"Upon death of an organism, during composition, what returns to the soil as ammonium ions?",sys,0,0.2,"{'carbon': 2, 'nitrogen': 1, 'oxygen': 2}"
Most insects reproduce quickly and through what type of reproduction?,ref,0,0.2,"{'asexual reproduction': 0, 'photosynthesis': 1, 'sexual reproduction': 1, 'spores': 3}"
Most insects reproduce quickly and through what type of reproduction?,sys,0,0.0,"{'asexual reproduction': 1, 'sexual reproduction': 0, 'spore reproduction': 1, 'vulation': 3}"
Digestion of proteins begins with acids in what organ?,ref,0,0.2,"{'brain': 2, 'colon': 1, 'liver': 1, 'stomach': 1}"
Digestion of proteins begins with acids in what organ?,sys,1,0.6,"{'amino acids': 0, 'enzymes': 1, 'hormones': 1, 'stomach': 3}"
"Many species of rotifers exhibit haplodiploidy, which is a method of what?",ref,0,0.0,"{'circulation': 4, 'digestion': 1, 'gender determination': 0, 'respiration': 0}"
"Many species of rotifers exhibit haplodiploidy, which is a method of what?",sys,0,0.2,"{'gender determination': 1, 'heteromorphic': 1, 'heterophytic': 0, 'heterozygous': 3}"
What is the most abundant metal of the earth's crust?,ref,0,0.0,"{'aluminum': 0, 'calcium': 1, 'copper': 4, 'magnetite': 0}"
What is the most abundant metal of the earth's crust?,sys,0,0.4,"{'aluminum': 2, 'copper': 1, 'iron': 0, 'silver': 2}"
What is the term for the total kinetic energy of moving particles of matter?,ref,0,0.2,"{""Newton's energy"": 0, 'heavy energy': 3, 'mechanical energy': 1, 'thermal energy': 1}"
What is the term for the total kinetic energy of moving particles of matter?,sys,0,0.2,"{'kinetic energy': 2, 'thermal energy': 1, 'thermal resistance': 2}"
What part of the eye allows light to enter?,ref,0,0.0,"{'eyelid': 0, 'iris': 3, 'pupil': 0, 'retina': 2}"
What part of the eye allows light to enter?,sys,1,0.6,"{'cornea': 1, 'lens': 1, 'pupil': 3}"
"The body cannot sustain for very long the bursts of energy mediated by epinephrine and norepinephrine, hormones associated with what stress response?",ref,0,0.2,"{'do-or-die': 0, 'fainting': 2, 'fight-or-flight': 1, 'sink-or-swim': 2}"
"The body cannot sustain for very long the bursts of energy mediated by epinephrine and norepinephrine, hormones associated with what stress response?",sys,1,0.6,"{'fatigue': 2, 'fight-or-flight': 3, 'stress': 0}"
"What system enters the brain stem and influences activity in the cerebellum, spinal cord, and cerebral cortex?",ref,0,0.4,"{'lipids system': 2, 'vasculature system': 1, 'ventrical system': 0, 'vestibular system': 2}"
"What system enters the brain stem and influences activity in the cerebellum, spinal cord, and cerebral cortex?",sys,0,0.4,"{'auditory cortex': 2, 'olfactory cortex': 0, 'vestibular system': 2, 'visual cortex': 1}"
In what type of animals may a body cavity be present or absent?,ref,1,0.6,"{'bicellular': 1, 'nonvascular': 0, 'triploblastic': 3, 'vertebrate': 1}"
In what type of animals may a body cavity be present or absent?,sys,0,0.0,"{'monogamous': 1, 'monolithic': 4, 'monotonous': 0, 'triploblastic': 0}"
Chemical reactions involve a transfer of heat energy. measured in what?,ref,0,0.0,"{'amperes': 1, 'amps': 1, 'joules': 0, 'thermals': 3}"
Chemical reactions involve a transfer of heat energy. measured in what?,sys,0,0.0,"{'joules': 0, 'kilo': 3, 'kilo-hours': 2, 'kilowatt-hours': 0}"
Trees and shrubs are example of what type of plant?,ref,0,0.0,"{'annuals': 2, 'biennial': 3, 'grasses': 0, 'perennials': 0}"
Trees and shrubs are example of what type of plant?,sys,0,0.2,"{'carnivorous': 2, 'coniferous': 0, 'deciduous': 2, 'perennials': 1}"
"The products of what process are needed for cellular respiration, and vice versa?",ref,0,0.0,"{'circulation': 0, 'digestion': 1, 'photosynthesis': 0, 'spermatogenesis': 4}"
"The products of what process are needed for cellular respiration, and vice versa?",sys,0,0.0,"{'carbon dioxide': 0, 'nitrogen': 1, 'oxygen': 4, 'photosynthesis': 0}"
Most fungi get organic compounds from what?,ref,0,0.4,"{'carnivorous organisms': 1, 'dead organisms': 2, 'inorganic material': 0, 'living organisms': 2}"
Most fungi get organic compounds from what?,sys,0,0.4,"{'air': 2, 'dead organisms': 2, 'organic compounds': 1, 'water': 0}"
How do very massive stars end their lives?,ref,0,0.2,"{'become red supergiants': 1, 'become super novas': 1, 'consumed by black hole': 1, 'explode': 2}"
How do very massive stars end their lives?,sys,0,0.4,"{'become red supergiants': 2, 'helium': 3}"
Pairs of nitrogenous bases are attached to each other by?,ref,0,0.0,"{'hydrogen bonds': 0, 'ionic bonds': 1, 'magnetism': 2, 'potassium bonds': 2}"
Pairs of nitrogenous bases are attached to each other by?,sys,1,1.0,{'hydrogen bonds': 5}
Rupture can cause fragments of what to travel via the bloodstream and become lodged in other arteries?,ref,1,0.4,"{'enamel': 2, 'plaque': 2, 'red blood cells': 0, 'white blood cells': 1}"
Rupture can cause fragments of what to travel via the bloodstream and become lodged in other arteries?,sys,1,0.4,"{""'bone'"": 1, ""'brain'"": 1, ""'heart'"": 1, 'plaque': 2}"
The strength of a base depends on the concentration of _______ it produces when dissolved in water?,ref,1,0.4,"{'calcium ions': 2, 'combustion ions': 1, 'hydroxide ions': 2, 'monoxide ions': 0}"
The strength of a base depends on the concentration of _______ it produces when dissolved in water?,sys,1,0.4,"{'hydrogen ions': 1, 'hydroxide ions': 2, 'nitrogen ions': 2, 'oxygen ions': 0}"
The overall voltage of the battery is therefore the sum of ________ of the individual cells.,ref,0,0.0,"{'currents': 1, 'resistances': 2, 'voltages': 0, 'weights': 2}"
The overall voltage of the battery is therefore the sum of ________ of the individual cells.,sys,1,0.6,"{'negative': 1, 'positive': 1, 'voltages': 3}"
Organisms that live deep in the ocean must be able to withstand what?,ref,0,0.0,"{'extreme water pressure': 0, 'significant water pressure': 4, 'the sun': 1, 'tsunamis': 0}"
Organisms that live deep in the ocean must be able to withstand what?,sys,0,0.2,"{'extreme water pressure': 1, 'high pressure': 1, 'high pressure and high temperature': 2, 'high temperature': 1}"
Which system are the brain and spinal cord apart of?,ref,0,0.4,"{'central nervous system': 2, 'cerebral cortex': 0, 'large nervous system': 2, 'limbic system': 1}"
Which system are the brain and spinal cord apart of?,sys,0,0.2,"{'central nervous system': 1, 'circulatory system': 2, 'nervous system': 1, 'respiratory system': 1}"
What are biochemical catalysts that speed up biochemical reactions?,ref,0,0.4,"{'enzymes': 2, 'inhibitor': 1, 'metabolites': 0, 'polymers': 2}"
What are biochemical catalysts that speed up biochemical reactions?,sys,0,0.2,"{'enzymes': 1, 'hormones': 3, 'proteins': 1}"
What process can cause harmful alleles to become fixed?,ref,0,0.2,"{'genetic drift': 1, 'migration': 1, 'mutation': 2, 'natural selection': 1}"
What process can cause harmful alleles to become fixed?,sys,0,0.2,"{'genetic drift': 1, 'mutation': 4}"
What record shows that dinosaurs originated 200-250 million years ago?,ref,1,0.4,"{'ancient record': 1, 'biological record': 2, 'fossil record': 2, 'species record': 0}"
What record shows that dinosaurs originated 200-250 million years ago?,sys,1,0.6,"{'fossil record': 3, 'fossilized': 2, 'fossilized fossil': 0}"
"What instrument is used to make very sensitive mass measurements in a laboratory, usually in grams?",ref,0,0.0,"{'analytical balance': 0, 'scale': 1, 'speedometer': 2, 'thermometer': 2}"
"What instrument is used to make very sensitive mass measurements in a laboratory, usually in grams?",sys,0,0.2,"{'analytical balance': 1, 'magnetic balance': 2, 'thermal balance': 1, 'ultrasonic balance': 1}"
What is the purpose of bright colors on a flower's petals?,ref,0,0.2,"{'to absorb light': 1, 'to attract a mate': 0, 'to attract pollinators': 1, 'to distract predators': 3}"
What is the purpose of bright colors on a flower's petals?,sys,0,0.2,"{'attract': 2, 'pollination': 1, 'reproduction': 1, 'to attract pollinators': 1}"
Collateral ganglia controls organs in which cavity in the body?,ref,0,0.4,"{'abdominal': 2, 'cardiac': 0, 'cranial': 0, 'pelvic': 3}"
Collateral ganglia controls organs in which cavity in the body?,sys,1,0.6,"{'abdominal': 3, 'pelvic': 1, 'thoracic': 1}"
A bee will sometimes do a dance to tell other bees in the hive where to find what?,ref,0,0.2,"{'enemies': 0, 'food': 1, 'honey': 3, 'water': 1}"
A bee will sometimes do a dance to tell other bees in the hive where to find what?,sys,0,0.2,"{'food': 1, 'honey': 1, 'pollen': 1, 'water': 2}"
"The lens focuses light on the retina , which covers the back of the inside of the eye. the retina has light-sensing photoreceptor cells called?",ref,0,0.0,"{'cones and tubes': 1, 'holes and cones': 3, 'rods and cones': 0, 'tubes and rods': 1}"
"The lens focuses light on the retina , which covers the back of the inside of the eye. the retina has light-sensing photoreceptor cells called?",sys,0,0.2,"{'cones and cones': 2, 'ones': 2, 'rods and cones': 1}"
"Temperature, water, soil, and air are examples of nonliving factors of an ecosystem, also termed what?",ref,0,0.2,"{'abiotic factors': 1, 'conditional factors': 1, 'diverse factors': 1, 'nucleic factors': 2}"
"Temperature, water, soil, and air are examples of nonliving factors of an ecosystem, also termed what?",sys,0,0.0,"{'abiotic factors': 0, 'otosynthesis': 2, 'soil': 2, 'water': 1}"
Ibuprofen and albuterol are examples of drugs whose _________ have different effects.,ref,0,0.0,"{'analogous': 3, 'enantiomers': 0, 'misnomers': 1, 'nanoparticles': 1}"
Ibuprofen and albuterol are examples of drugs whose _________ have different effects.,sys,0,0.0,"{'antacid': 1, 'antifreeze': 3, 'antihistamine': 1, 'enantiomers': 0}"
"Although magma once filled our moon's craters, what is thought to have ended there over a billion years ago?",ref,1,0.6,"{'deserts activity': 0, 'mineral activity': 1, 'oceanic activity': 1, 'volcanic activity': 3}"
"Although magma once filled our moon's craters, what is thought to have ended there over a billion years ago?",sys,0,0.4,"{'volcanic activity': 2, 'volcanic eruption': 2, 'volcanic formation': 1}"
Sensory nerves carry nerve impulses from sensory receptors to what system?,ref,1,0.4,"{'ENDOCRINE SYSTEM': 1, 'IRCULATORY SYSTEM': 0, 'MUSCULAR SYSTEM': 2, 'central nervous': 2}"
Sensory nerves carry nerve impulses from sensory receptors to what system?,sys,0,0.2,"{'central nervous': 1, 'nervous': 2, 'peripheral': 2, 'peripheral nervous': 0}"
Which kind of muscle regulates air flow in lungs?,ref,0,0.2,"{'alveoli': 1, 'smooth': 1, 'striated': 2, 'vascular': 1}"
Which kind of muscle regulates air flow in lungs?,sys,1,0.4,"{'muscle': 2, 'muscle fibers': 1, 'smooth': 2}"
What type of bonds are formed by the side-to-side overlap of p orbitals?,ref,0,0.2,"{'omega bonds': 1, 'pi bonds': 1, 'sigma bonds': 2, 'theta bonds': 1}"
What type of bonds are formed by the side-to-side overlap of p orbitals?,sys,0,0.4,"{'alpha bonds': 3, 'pi bonds': 2}"
On what day of the cycle does ovulation usually occur?,ref,0,0.2,"{'14th': 1, '17th': 1, '1st': 1, '7th': 2}"
On what day of the cycle does ovulation usually occur?,sys,1,0.6,"{'14th': 3, '15th': 0, '16th': 2, '17th': 0}"
"The majority of animals belong to what category, characterized by the lack of a backbone?",ref,1,0.4,"{'arthropod': 0, 'invertebrate': 2, 'nematode': 2, 'vertebrate': 1}"
"The majority of animals belong to what category, characterized by the lack of a backbone?",sys,0,0.0,"{'invertebrate': 0, 'mammal': 3, 'reptile': 2, 'vertebrate': 0}"
What is another name for the vertebral column?,ref,1,0.4,"{'backbone': 2, 'brain stem': 0, 'nerve column': 2, 'pillar': 1}"
What is another name for the vertebral column?,sys,0,0.4,"{'backbone': 2, 'vertebrae': 3}"
The temperature at which a substance melts is called its what point?,ref,0,0.0,"{'boiling': 3, 'change': 2, 'freezing': 0, 'melting': 0}"
The temperature at which a substance melts is called its what point?,sys,1,0.4,"{'boiling': 1, 'freezing': 2, 'melting': 2}"
"Oogenesis, which is gametogenesis in females, begins with what type of ste cells?",ref,0,0.0,"{'digestive': 2, 'ovarian': 0, 'secretion': 2, 'uterian': 1}"
"Oogenesis, which is gametogenesis in females, begins with what type of ste cells?",sys,1,0.6,"{'follicular': 2, 'ovarian': 3}"
Humans are among the most versatile of mammals with what type of diet?,ref,1,0.4,"{'carnivore': 1, 'herbivore': 1, 'omnivore': 2, 'vegetarian': 1}"
Humans are among the most versatile of mammals with what type of diet?,sys,0,0.2,"{'carnivore': 2, 'herbivore': 2, 'omnivore': 1}"
Solute potential is also called osmotic potential because solutes affect the direction of what?,ref,0,0.2,"{'electrolysis': 3, 'osmosis': 1, 'permeability': 1}"
Solute potential is also called osmotic potential because solutes affect the direction of what?,sys,0,0.0,"{'negative pressure': 2, 'negative temperature': 3, 'osmosis': 0}"
"Newton’s second law of what is more than a definition; it is a relationship among acceleration, force, and mass?",ref,0,0.0,"{'change': 1, 'gravity': 1, 'interference': 3, 'motion': 0}"
"Newton’s second law of what is more than a definition; it is a relationship among acceleration, force, and mass?",sys,1,0.8,"{'city': 0, 'gravity': 0, 'momentum': 1, 'motion': 4}"
What is the physical transformation of an insect moving through stages of life?,ref,0,0.0,"{'Growth and Development': 0, 'Transition': 3, 'metamorphosis': 0, 'parthenogenesis': 2}"
What is the physical transformation of an insect moving through stages of life?,sys,0,0.2,"{'etamorphosis': 4, 'metamorphosis': 1}"
"When equal amounts of a strong acid such as hydrochloric acid are mixed with a strong base such as sodium hydroxide, the result is what kind of solution?",ref,0,0.0,"{'a economical one': 0, 'a lateral one': 2, 'a neutral one': 0, 'a thermodynamic one': 3}"
"When equal amounts of a strong acid such as hydrochloric acid are mixed with a strong base such as sodium hydroxide, the result is what kind of solution?",sys,1,0.6,"{'a neutral one': 3, 'acidic': 2}"
What are fast moving rivers of air that are going in opposite directions called?,ref,0,0.2,"{'air streams': 1, 'burst streams': 0, 'cause streams': 3, 'jet streams': 1}"
What are fast moving rivers of air that are going in opposite directions called?,sys,0,0.0,"{'atmospheric currents': 1, 'jet streams': 0, 'ocean currents': 2, 'wind streams': 2}"
"Nephrons, renal tubules and the loop of henle are part of the process of blood filtration by what organs?",ref,0,0.2,"{'bladder': 0, 'kidneys': 1, 'liver': 3, 'lungs': 1}"
"Nephrons, renal tubules and the loop of henle are part of the process of blood filtration by what organs?",sys,1,0.4,"{'heart': 2, 'kidneys': 2, 'liver': 1, 'lungs': 0}"
"Fungi, such as black bread mold (rhizopus nigricans), have haploid-dominant what?",ref,0,0.2,"{'birth cycles': 2, 'gene pools': 1, 'life cycles': 1, 'mutations': 1}"
"Fungi, such as black bread mold (rhizopus nigricans), have haploid-dominant what?",sys,0,0.0,"{'life cycles': 0, 'pollen': 2, 'seeds': 3, 'spores': 0}"
The electrode at which oxidation occurs is called?,ref,0,0.2,"{'calomel': 1, 'cathode': 2, 'diode': 1, 'the anode': 1}"
The electrode at which oxidation occurs is called?,sys,0,0.0,"{'negative charge': 0, 'negative electrode': 2, 'negative ion': 3, 'the anode': 0}"
There are about 6200 known species of what?,ref,0,0.0,"{'amphibians': 0, 'mammals': 2, 'primates': 1, 'reptiles': 2}"
There are about 6200 known species of what?,sys,1,0.6,"{""'birds"": 1, 'amphibians': 3, 'mammals': 0, ""reptiles' 'fish"": 1}"
The lens and other parts of the eye work together to focus a real image on what eye structure?,ref,0,0.0,"{'cornea': 1, 'iris': 3, 'pupil': 1, 'retina': 0}"
The lens and other parts of the eye work together to focus a real image on what eye structure?,sys,0,0.2,"{'cornea': 0, 'iris': 2, 'retina': 1, 'upil': 2}"
What is required to move or change matter from one state to another?,ref,0,0.2,"{'energy': 1, 'evolution': 3, 'food': 1, 'gravity': 0}"
What is required to move or change matter from one state to another?,sys,1,0.4,"{'carbon': 1, 'energy': 2, 'nitrogen': 1, 'oxygen': 1}"
A food web can be broken up into what further subdivision that usually has a few links in it?,ref,0,0.0,"{'food chain': 0, 'food pyramid': 1, 'oxygen chain': 2, 'water chain': 2}"
A food web can be broken up into what further subdivision that usually has a few links in it?,sys,1,0.6,"{'ecosystem': 1, 'food chain': 3, 'population': 1, 'species': 0}"
What living species of bird is considered the  largest of the raptors?,ref,1,0.4,"{'California condor': 1, 'golden eagles': 2, 'peregrine falcon': 1, 'pteradactyl': 1}"
What living species of bird is considered the  largest of the raptors?,sys,0,0.4,"{'golden eagles': 2, 'peregrine falcon': 3}"
What contains positive protons and neutral neutrons?,ref,0,0.2,"{'electrons': 2, 'epidermis': 0, 'ions': 2, 'nucleus': 1}"
What contains positive protons and neutral neutrons?,sys,1,1.0,{'nucleus': 5}
"Horny ridges on the jaws serve the same function as what, for turtles?",ref,0,0.2,"{'hairs': 3, 'skin': 0, 'taste buds': 1, 'teeth': 1}"
"Horny ridges on the jaws serve the same function as what, for turtles?",sys,1,0.6,"{'sharp ridges': 1, 'sharp teeth': 1, 'teeth': 3}"
Natural gas is the predominately made up of?,ref,0,0.2,"{'carbon': 1, 'hydrogen': 1, 'methane': 1, 'sulfur': 2}"
Natural gas is the predominately made up of?,sys,0,0.2,"{'carbon dioxide': 1, 'helium': 1, 'hydrogen': 2, 'methane': 1}"
"Which  organs control the amount of water, ions, and other substances in the blood by excreting more or less of them in urine?",ref,1,0.4,"{'ears': 1, 'kidneys': 2, 'lungs': 1, 'tongue': 1}"
"Which  organs control the amount of water, ions, and other substances in the blood by excreting more or less of them in urine?",sys,0,0.2,"{'heart': 1, 'kidneys': 1, 'liver': 3, 'lungs': 0}"
What unit of measurement is defined to be the number of atoms in 12g of carbon-12?,ref,0,0.2,"{'one joule': 0, 'one mole': 1, 'one ohm': 2, 'one quark': 2}"
What unit of measurement is defined to be the number of atoms in 12g of carbon-12?,sys,0,0.0,"{'one atom': 1, 'one gram': 0, 'one mole': 0, 'one molecule': 4}"
What involves sensing and focusing light from people and objects?,ref,0,0.2,"{'echolocation': 2, 'projection': 2, 'sensory perception': 0, 'vision': 1}"
What involves sensing and focusing light from people and objects?,sys,0,0.2,"{""'sight'"": 4, ""'sight''sight'"": 0, 'vision': 1}"
"What is a therian mammal in which the embryo is born at an early, immature stage?",ref,1,0.6,"{'a marsupial': 3, 'bat': 1, 'carnivore': 1, 'rodent': 0}"
"What is a therian mammal in which the embryo is born at an early, immature stage?",sys,0,0.4,"{'a marsupial': 2, 'carnivores': 3, 'carnivorous': 0}"
What are fungi which feed on living cells called?,ref,1,0.6,"{'parasitic': 3, 'predatory': 0, 'static': 1, 'symbiotic': 1}"
What are fungi which feed on living cells called?,sys,1,0.4,"{'bacteria': 1, 'parasitic': 2, 'spores': 2, 'viruses': 0}"
What rock group offers the richest source of fossils?,ref,0,0.0,"{'geode': 0, 'igneous': 3, 'metamorphic': 2, 'sedimentary': 0}"
What rock group offers the richest source of fossils?,sys,0,0.2,"{'granite': 4, 'limestone': 0, 'sedimentary': 1}"
What is the diffusion of water through a semipermeable membrane down its concentration gradient,ref,0,0.2,"{'Permable': 3, 'mirrors': 0, 'nutrients': 1, 'osmosis': 1}"
What is the diffusion of water through a semipermeable membrane down its concentration gradient,sys,0,0.2,"{'carbon dioxide': 1, 'nitrogen': 0, 'osmosis': 1, 'oxygen': 3}"
Isotopes are named for their number of protons plus what?,ref,0,0.0,"{'electrons': 2, 'isomers': 2, 'neutrons': 0, 'nuclei': 1}"
Isotopes are named for their number of protons plus what?,sys,1,0.6,"{'hydrogen': 1, 'neutrons': 3, 'nitrogen': 0, 'oxygen': 1}"
Movements in the mantle cause the plates to move over time in a process called what?,ref,1,0.4,"{'boundary drift': 1, 'continental drift': 2, 'continental expansion': 1, 'continental shift': 1}"
Movements in the mantle cause the plates to move over time in a process called what?,sys,0,0.2,"{""'continental drift'"": 1, ""'geological drift'"": 0, ""'seismic drift'"": 3, 'continental drift': 1}"
"In phyisics, what is considered to be the rotational version of force?",ref,0,0.0,"{'energy': 1, 'pressure': 1, 'torque': 0, 'work': 3}"
"In phyisics, what is considered to be the rotational version of force?",sys,0,0.4,"{'friction': 0, 'gravity': 0, 'spin': 3, 'torque': 2}"
Skeletal muscles are attached to the skeleton by tough connective tissues called what?,ref,0,0.2,"{'cords': 1, 'fibers': 1, 'tendons': 1, 'veins': 2}"
Skeletal muscles are attached to the skeleton by tough connective tissues called what?,sys,0,0.0,"{'collagen': 0, 'fibroblasts': 3, 'keratin': 2, 'tendons': 0}"
What is the ability to see called?,ref,1,0.4,"{'hearing': 2, 'smell': 0, 'thought': 1, 'vision': 2}"
What is the ability to see called?,sys,0,0.2,"{'olor': 4, 'smell': 0, 'sound': 0, 'vision': 1}"
